spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:309, page_time:17588923, size_db:1052672, actual:1049000 
checkpoint:310, page_time:13197995, size_db:790528, actual:786792 
checkpoint:311, page_time:13196596, size_db:790528, actual:786792 
checkpoint:312, page_time:8809307, size_db:528384, actual:524584 
checkpoint:313, page_time:4374004, size_db:266240, actual:262376 
checkpoint:314, page_time:4370676, size_db:266240, actual:262376 
checkpoint:315, page_time:13197106, size_db:790528, actual:786792 
checkpoint:316, page_time:4373722, size_db:266240, actual:262376 
checkpoint:317, page_time:17589572, size_db:1052672, actual:1049000 
checkpoint:318, page_time:8808674, size_db:528384, actual:524584 
checkpoint:319, page_time:4374097, size_db:266240, actual:262376 
checkpoint:320, page_time:8807774, size_db:528384, actual:524584 
checkpoint:321, page_time:8808054, size_db:528384, actual:524584 
checkpoint:322, page_time:4373692, size_db:266240, actual:262376 
checkpoint:323, page_time:8808676, size_db:528384, actual:524584 
checkpoint:324, page_time:4370544, size_db:266240, actual:262376 
checkpoint:325, page_time:17587695, size_db:1052672, actual:1049000 
checkpoint:326, page_time:8807229, size_db:528384, actual:524584 
checkpoint:327, page_time:8807922, size_db:528384, actual:524584 
checkpoint:328, page_time:8807903, size_db:528384, actual:524584 
checkpoint:329, page_time:13197888, size_db:790528, actual:786792 
checkpoint:330, page_time:8809355, size_db:528384, actual:524584 
checkpoint:331, page_time:4374760, size_db:266240, actual:262376 
checkpoint:332, page_time:13198032, size_db:790528, actual:786792 
checkpoint:333, page_time:4377815, size_db:266240, actual:262376 
checkpoint:334, page_time:13197243, size_db:790528, actual:786792 
checkpoint:335, page_time:8808909, size_db:528384, actual:524584 
checkpoint:336, page_time:17586566, size_db:1052672, actual:1049000 
checkpoint:337, page_time:8809291, size_db:528384, actual:524584 
checkpoint:338, page_time:4377809, size_db:266240, actual:262376 
checkpoint:339, page_time:13197375, size_db:790528, actual:786792 
checkpoint:340, page_time:8811518, size_db:528384, actual:524584 
checkpoint:341, page_time:4376079, size_db:266240, actual:262376 
checkpoint:342, page_time:4371554, size_db:266240, actual:262376 
checkpoint:343, page_time:8806925, size_db:528384, actual:524584 
checkpoint:344, page_time:4373923, size_db:266240, actual:262376 
checkpoint:345, page_time:8805370, size_db:528384, actual:524584 
checkpoint:346, page_time:4371157, size_db:266240, actual:262376 
checkpoint:347, page_time:8805403, size_db:528384, actual:524584 
checkpoint:348, page_time:4372091, size_db:266240, actual:262376 
checkpoint:349, page_time:4369694, size_db:266240, actual:262376 
checkpoint:350, page_time:13199652, size_db:790528, actual:786792 
checkpoint:351, page_time:4374705, size_db:266240, actual:262376 
checkpoint:352, page_time:8808983, size_db:528384, actual:524584 
checkpoint:353, page_time:8804673, size_db:528384, actual:524584 
checkpoint:354, page_time:4371545, size_db:266240, actual:262376 
checkpoint:355, page_time:17586638, size_db:1052672, actual:1049000 
checkpoint:356, page_time:4377538, size_db:266240, actual:262376 
checkpoint:357, page_time:8806337, size_db:528384, actual:524584 
checkpoint:358, page_time:17586561, size_db:1052672, actual:1049000 
checkpoint:359, page_time:8809342, size_db:528384, actual:524584 
checkpoint:360, page_time:13197938, size_db:790528, actual:786792 
checkpoint:361, page_time:4370690, size_db:266240, actual:262376 
checkpoint:362, page_time:17583313, size_db:1052672, actual:1049000 
checkpoint:363, page_time:4374746, size_db:266240, actual:262376 
checkpoint:364, page_time:8808532, size_db:528384, actual:524584 
checkpoint:365, page_time:4377565, size_db:266240, actual:262376 
checkpoint:366, page_time:8807855, size_db:528384, actual:524584 
checkpoint:367, page_time:4373926, size_db:266240, actual:262376 
checkpoint:368, page_time:17591858, size_db:1052672, actual:1049000 
checkpoint:369, page_time:4371509, size_db:266240, actual:262376 
checkpoint:370, page_time:8806458, size_db:528384, actual:524584 
checkpoint:371, page_time:17593294, size_db:1052672, actual:1049000 
checkpoint:372, page_time:4370539, size_db:266240, actual:262376 
checkpoint:373, page_time:8807855, size_db:528384, actual:524584 
checkpoint:374, page_time:4375341, size_db:266240, actual:262376 
checkpoint:375, page_time:8807495, size_db:528384, actual:524584 
checkpoint:376, page_time:4374251, size_db:266240, actual:262376 
checkpoint:377, page_time:8807832, size_db:528384, actual:524584 
checkpoint:378, page_time:8804855, size_db:528384, actual:524584 
checkpoint:379, page_time:4374189, size_db:266240, actual:262376 
