spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:413, page_time:1247420, size_db:98304
checkpoint:414, page_time:1313066, size_db:102400
checkpoint:415, page_time:1259384, size_db:98304
checkpoint:416, page_time:2264910, size_db:176128
checkpoint:417, page_time:1168744, size_db:90112
checkpoint:418, page_time:1205035, size_db:94208
checkpoint:419, page_time:4410410, size_db:331776
checkpoint:420, page_time:1113417, size_db:86016
checkpoint:421, page_time:2471430, size_db:192512
checkpoint:422, page_time:3636458, size_db:274432
checkpoint:423, page_time:4433746, size_db:331776
checkpoint:424, page_time:1274763, size_db:98304
checkpoint:425, page_time:2162590, size_db:167936
checkpoint:426, page_time:2601787, size_db:200704
checkpoint:427, page_time:1114156, size_db:86016
checkpoint:428, page_time:3224826, size_db:249856
checkpoint:429, page_time:5099692, size_db:380928
checkpoint:430, page_time:1112142, size_db:86016
checkpoint:431, page_time:2585637, size_db:200704
checkpoint:432, page_time:1325981, size_db:102400
checkpoint:433, page_time:3614734, size_db:274432
checkpoint:434, page_time:4876376, size_db:364544
checkpoint:435, page_time:1328038, size_db:102400
checkpoint:436, page_time:1316503, size_db:102400
checkpoint:437, page_time:1153481, size_db:90112
checkpoint:438, page_time:3397715, size_db:262144
checkpoint:439, page_time:1107909, size_db:86016
checkpoint:440, page_time:2480094, size_db:192512
checkpoint:441, page_time:2602568, size_db:200704
checkpoint:442, page_time:1220395, size_db:94208
checkpoint:443, page_time:5084812, size_db:380928
checkpoint:444, page_time:1115657, size_db:86016
checkpoint:445, page_time:2257284, size_db:176128
checkpoint:446, page_time:1274952, size_db:98304
checkpoint:447, page_time:3622328, size_db:274432
checkpoint:448, page_time:1274967, size_db:98304
checkpoint:449, page_time:1104682, size_db:86016
checkpoint:450, page_time:4630337, size_db:348160
checkpoint:451, page_time:3419432, size_db:262144
checkpoint:452, page_time:1113999, size_db:86016
checkpoint:453, page_time:3797728, size_db:286720
checkpoint:454, page_time:1328045, size_db:102400
checkpoint:455, page_time:1061724, size_db:86016
checkpoint:456, page_time:2267520, size_db:176128
checkpoint:457, page_time:1168746, size_db:90112
checkpoint:458, page_time:2368683, size_db:184320
checkpoint:459, page_time:1328051, size_db:102400
checkpoint:460, page_time:4641689, size_db:348160
checkpoint:461, page_time:2496675, size_db:192512
checkpoint:462, page_time:1168745, size_db:90112
checkpoint:463, page_time:1090852, size_db:86016
checkpoint:464, page_time:3395693, size_db:262144
checkpoint:465, page_time:2390426, size_db:184320
checkpoint:466, page_time:3636456, size_db:274432
checkpoint:467, page_time:2601073, size_db:200704
checkpoint:468, page_time:2496613, size_db:192512
checkpoint:469, page_time:2602200, size_db:200704
checkpoint:470, page_time:3241435, size_db:249856
checkpoint:471, page_time:5329544, size_db:397312
checkpoint:472, page_time:2496660, size_db:192512
checkpoint:473, page_time:1221927, size_db:94208
checkpoint:474, page_time:1104002, size_db:86016
checkpoint:475, page_time:1275600, size_db:102400
checkpoint:476, page_time:1278425, size_db:102400
checkpoint:477, page_time:1289579, size_db:102400
checkpoint:478, page_time:1223484, size_db:98304
checkpoint:479, page_time:1105267, size_db:86016
checkpoint:480, page_time:1097372, size_db:86016
checkpoint:481, page_time:3804832, size_db:286720
checkpoint:482, page_time:1328043, size_db:102400
checkpoint:483, page_time:2591244, size_db:200704
checkpoint:484, page_time:3991051, size_db:299008
checkpoint:485, page_time:1325660, size_db:102400
checkpoint:486, page_time:5325417, size_db:397312
checkpoint:487, page_time:2389640, size_db:184320
checkpoint:488, page_time:1165450, size_db:90112
checkpoint:489, page_time:2373817, size_db:184320
checkpoint:490, page_time:5102887, size_db:380928
checkpoint:491, page_time:1168732, size_db:90112
checkpoint:492, page_time:2581096, size_db:200704
checkpoint:493, page_time:2602805, size_db:200704
checkpoint:494, page_time:1115594, size_db:86016
checkpoint:495, page_time:2586216, size_db:200704
checkpoint:496, page_time:2177880, size_db:167936
checkpoint:497, page_time:1221929, size_db:94208
checkpoint:498, page_time:1155856, size_db:90112
checkpoint:499, page_time:2160431, size_db:167936
